codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
ARAUCO-IMARIQ6,Llongo,-39.551265,-72.90805,38,Mariquina,Los Ríos,2023-07-19 0:00
ARAUCO-IFLORI178,Cangrejillo,-36.877961,-72.803711,175,Florida,Biobío,2023-07-19 0:00
ARAUCO-IFLORI179,Coyanco,-36.74882,-72.588716,90,Quillón,Ñuble,2023-07-21 0:00
ARAUCO-ISANTA1285,Santa Juana,-37.175533,-72.963727,54,Santa Juana,Biobío,2023-07-21 0:00
ARAUCO-IYUNGA11,Siberia,-37.174782,-72.064874,241,Yungay,Ñuble,2023-07-20 0:00
EAM-350071,Escuela Agrícola de Molina,-35.098057,-71.275,243,Molina,Maule,2023-07-04 14:00
ARAUCO-ICOIHU2,El Kayser,-36.730083,-71.750486,482,Coihueco,Ñuble,2023-08-01 0:00
ARAUCO-ICONST78,Carrizal,-35.237651,-72.262868,167,Constitución,Maule,2023-08-04 0:00
ARAUCO-ICUREP5,Curepto,-35.100907,-72.007541,74,Curepto,Maule,2023-09-15 0:00
ARAUCO-ICOLLI103,Santa Amelia,-37.978802,-72.417784,273,Collipulli,La Araucanía,2023-08-25 0:00
ARAUCO-ISANTA1326,Tanahullin,-37.224953,-72.816584,222,Santa Juana,Biobío,2023-09-08 0:00
DMC-260010,Aeródromo Ricardo García Posada,-26.31305,-69.75139,1610,Diego de Almagro,Atacama,2023-08-05 0:00
DMC-360097,Liceo San Nicolás,-36.50556,-72.21944,118,San Nicolás,Ñuble,2023-09-01 0:00
DMC-310044,Pisco Capel,-31.78722,-70.95944,516,Salamanca,Coquimbo,2023-08-20 0:00
DMC-400060,Fundo el Maitén,-40.08361,-72.65889,194,Paillaco,Los Ríos,2023-08-21 0:00
FDF-400043,,,,,,,2019-08-26 0:00
FDF-340005,Alhué,-34.065,-71.25388889,127,Alhué,Metropolitana,2011-01-01 0:00
FDF-380059,Allipén,-38.9997222,-72.5210833,135,Freire,La Araucanía,2017-05-31 0:00
FDF-270098,Altar de la Virgen,-27.99994,-69.98,1385,Tierra Amarilla,Atacama,2022-04-20 0:00
FDF-280010,Alto del Carmen,-28.76816667,-70.44922222,822,Alto del Carmen,Atacama,2011-01-01 0:00
FDF-270030,Amalfi,-27.411203,-70.302629,421,Copiapó,Atacama,2022-04-19 0:00
FDF-370072,Antuco,-37.434978,-72.107747,267,Antuco,Bío Bío,2022-04-14 0:00
FDF-450050,Aysén,-45.43194444,-72.71444444,1055,Aisén,Aisén,2011-01-01 0:00
FDF-180010,Azapa1,-18.50963889,-70.24805555,133,Arica,Arica y Parinacota,2011-01-01 0:00
FDF-180020,Azapa2,-18.52044444,-70.23266667,202,Arica,Arica y Parinacota,2011-01-01 0:00
FDF-270083,Bodega,-27.34361111,-70.37277778,371,Copiapó,Atacama,2011-01-01 0:00
FDF-330050,Buin,-33.70736111,-70.70155556,527,Buin,Metropolitana,2011-01-01 0:00
FDF-360060,Bulnes,-36.73555556,-72.36694444,73,Bulnes,Ñuble,2011-01-01 0:00
FDF-320020,Cabildo,-32.36219444,-70.81972222,550,Cabildo,Valparaíso,2011-01-01 0:00
FDF-330060,Calera de Tango,-33.63055556,-70.79916667,470,Calera de Tango,Metropolitana,2011-01-01 0:00
FDF-320060,Calle Larga,-32.87055556,-70.64611111,776,Calle Larga,Valparaíso,2011-01-01 0:00
FDF-350026,Campanacura,-35.9738889,-72.0276389,132,Parral,Maule,2017-05-10 0:00
FDF-270008,Casa Rosada,-27.84914,-70.0875,1292,Tierra Amarilla,Atacama,2022-04-20 0:00
FDF-330005,Casablanca,-33.32083333,-71.43722222,312,Casablanca,Valparaíso,2011-01-01 0:00
FDF-320037,Catapilco,-32.56033283,-71.311806,611,Zapallar,Valparaíso,2015-11-26 0:00
FDF-320095,Catemu,-32.75777778,-70.94277778,445,Catemu,Valparaíso,2011-01-01 0:00
FDF-340080,Chépica,-34.73861111,-71.25805556,205,Chépica,O'Higgins,2011-01-01 0:00
FDF-340021,Chimbarongo,-34.67083333,-71.03166667,325,Chimbarongo,O'Higgins,2011-01-01 0:00
FDF-330070,Chocalan,-33.72555556,-71.20972222,156,Melipilla,Metropolitana,2011-01-01 0:00
FDF-360120,Cobquecura,-36.1245278,-72.7953889,65,Cobquecura,Ñuble,2017-05-09 0:00
FDF-340024,Codegua,-34.11027778,-70.65361111,547,Codegua,O'Higgins,2011-01-01 0:00
FDF-340020,Codegua Norte Ex Rancagua,-34.10888889,-70.63958333,527,Codegua,O'Higgins,2011-01-01 0:00
FDF-360030,Coihueco,-36.55722222,-71.81722222,339,Coihueco,Ñuble,2011-01-01 0:00
FDF-350080,Colbún,-35.66222222,-71.45361111,249,Colbún,Maule,2011-01-01 0:00
FDF-3931,COLINA ,-33.21877778,-70.71583333,553,Colina,Metropolitana,2011-01-01 0:00
